class_index,cod_id,formula,reduced_formula,elements,space_group,space_group_number
0,1522982,Mn4 Ni8 Sn4,MnNi2Sn,"Mn,Ni,Sn",F-43m,216
1,1525299,V1 Fe0.9 Co2.1,Co2.1Fe0.9V,"Co,Fe,V",Pm-3m,221
2,1525266,Ga1 Fe0.5 Co0.5,Co0.5Fe0.5Ga,"Co,Fe,Ga",Pm-3m,221
3,7115402,Ag4 C16 N12,AgC4N3,"Ag,C,N",Ima2,46
4,1011037,Co2 S2,CoS,"Co,S",P6_3/mmc,194
5,9012383,Ni30 As12,As2Ni5,"As,Ni",P6_3cm,185
6,1509809,Li4 Ag8 Ge4,Ag2GeLi,"Ag,Ge,Li",Fm-3m,225
7,9014900,Na1 S1,NaS,"Na,S",R-3m,166
8,4308986,Tl4 C4 O8,CO2Tl,"C,O,Tl",P2_1/c,14
9,1007054,U4 Ge4 O16,GeO4U,"Ge,O,U",I4_1/a,88
10,1514089,Li4 O4,LiO,"Li,O",P6_3/mmc,194
11,2106901,Si16 Pb32 O64,O4Pb2Si,"O,Pb,Si",C2,5
12,1521866,Tb2 Co4 Si4,Co2Si2Tb,"Co,Si,Tb",I4/mmm,139
13,1542133,Ba12 Fe4 S20,Ba3FeS5,"Ba,Fe,S",Pnma,62
14,7129000,Ca4 Ni2 N4,Ca2N2Ni,"Ca,N,Ni",I4/mmm,139
15,1532942,Sm6 Ge8 Ru4,Ge4Ru2Sm3,"Ge,Ru,Sm",C2/m,12
16,1522516,Mo1.73 Ir0.27,Ir0.27Mo1.73,"Ir,Mo",Im-3m,229
17,1530319,Mn4 P4 O14,Mn2O7P2,"Mn,O,P",C2/m,12
18,8104411,Rb12 Al2 Sb6,AlRb6Sb3,"Al,Rb,Sb",P2_1/m,11
19,1008443,Nd4 Fe4 Si8,FeNdSi2,"Fe,Nd,Si",Cmcm,63
20,1529971,K4 Mo4 O16,KMoO4,"K,Mo,O",P-1,2
21,1530335,U12 Zn102,U2Zn17,"U,Zn",P-6m2,187
22,4001329,Hf8 Bi8 O28,Bi2Hf2O7,"Bi,Hf,O",I4_122,98
23,9011194,U4 Te4 O20,O5TeU,"O,Te,U",Pbcm,57
24,2020249,Nb4 Cl20,Cl5Nb,"Cl,Nb",P2_1/c,14
25,1509956,Yb3.7 Al19.876 Ag14.124,Ag14.124Al19.876Yb3.7,"Ag,Al,Yb",P6_3/mmc,194
26,8103662,P8 Pb12 O32,O8P2Pb3,"O,P,Pb",C2/c,15
27,2107517,Sn3.9264 Se4,Se4Sn3.9264,"Se,Sn",Pnma,62
28,1542159,Ni12 Te8 O32,Ni3O8Te2,"Ni,O,Te",P6_3mc,186
29,1527601,Na4 Cr6 O18,Cr3Na2O9,"Cr,Na,O",P2_1/m,11
30,1509446,Li8 Ag4 Sb4,AgLi2Sb,"Ag,Li,Sb",Fd-3m,227
31,2017580,Ce6 Mg2.692 Zn19.308,Ce6Mg2.692Zn19.308,"Ce,Mg,Zn",Immm,71
32,9008932,Fe4 P4,FeP,"Fe,P",Pnma,62
33,1528931,Sm8 Ga10.48 Ge11.52,Ga10.48Ge11.52Sm8,"Ga,Ge,Sm",Cmmm,65
34,1534511,Mo30 S38,Mo15S19,"Mo,S",P6_3/m,176
35,9016399,Hg2 Pt4 Se6,HgPt2Se3,"Hg,Pt,Se",C2/m,12
36,1535311,Na4 In2.68 Bi4,Bi4In2.68Na4,"Bi,In,Na",Pnma,62
37,1100890,Fe2 H40.0 C52,C26FeH20,"C,Fe,H",P-1,2
38,2002403,Cu8 W4 O16,Cu2O4W,"Cu,O,W",P1,1
39,1005027,Sr6 Ge4 N4,Ge2N2Sr3,"Ge,N,Sr",P2_1/m,11
40,9005936,Mn4 S4,MnS,"Mn,S",Fm-3m,225
41,2002359,Nb8 Ni16 O36,Nb2Ni4O9,"Nb,Ni,O",Pbcn,60
42,2104406,Bi12 Mo4,Bi3Mo,"Bi,Mo",P2_1/m,11
43,4002711,Eu4 In4 Ag20,Ag5EuIn,"Ag,Eu,In",Pnma,62
44,4001741,Gd18 B18 O54,BGdO3,"B,Gd,O",R32,155
45,4327895,Li4 Nd4 Ge8,Ge2LiNd,"Ge,Li,Nd",Pnma,62
46,1510582,Sm8 Au48,Au6Sm,"Au,Sm",P4_2/ncm,138
47,1539092,Bi2 Br2 O2,BiBrO,"Bi,Br,O",P4/nmm,129
48,9007973,Na6 Y2 Cl12,Cl6Na3Y,"Cl,Na,Y",P2_1/c,14
49,1533452,Y4 P12 O36,O9P3Y,"O,P,Y",P2_1/m,11
50,9010920,Bi8 Pb4 S16,Bi2PbS4,"Bi,Pb,S",Pnma,62
51,4031566,Rh16 C40 O38,C20O19Rh8,"C,O,Rh",P-1,2
52,2014743,Hg2 H20 C24,C12H10Hg,"C,H,Hg",P2_1/c,14
53,1527099,Cs2 Ni2 F6,CsF3Ni,"Cs,F,Ni",P6_3/mmc,194
54,1524971,Nd0.6 Tm0.4 Co5,Co5Nd0.6Tm0.4,"Co,Nd,Tm",P6/mmm,191
55,1528700,Sr4 Ca4 Pb4,CaPbSr,"Ca,Pb,Sr",Pnma,62
56,2101049,W6 O16,O8W3,"O,W",C222,21
57,1522830,Nb0.02 Re1.98,Nb0.02Re1.98,"Nb,Re",P6_3/mmc,194
58,1548811,Ni1 H2 O2,H2NiO2,"H,Ni,O",P-3m1,164
59,9003682,Mn20 Si20 O60,MnO3Si,"Mn,O,Si",P-1,2
60,1526736,Ho8 Ge16 Pt8,Ge2HoPt,"Ge,Ho,Pt",Immm,71
61,5910106,Te8 Ru4,RuTe2,"Ru,Te",Pa-3,205
62,9008793,Tl1 Br1,BrTl,"Br,Tl",Pm-3m,221
63,4314516,Er8 Ga24 Fe1.336,Er8Fe1.336Ga24,"Er,Fe,Ga",Im-3m,229
64,1538438,Hf2 Ge2 Se2,GeHfSe,"Ge,Hf,Se",P4/nmm,129
65,7101735,Na5.702 Ge24.617,Ge24.617Na5.702,"Ge,Na",P6/m,175
66,8100914,Ca4 Pb2 Au4,Au2Ca2Pb,"Au,Ca,Pb",P4/mbm,127
67,2106097,Gd4.2 Y1.8 Ni6,Gd4.2Ni6Y1.8,"Gd,Ni,Y",P2_1/m,11
68,1535257,Nb4 Cl12 O4,Cl3NbO,"Cl,Nb,O",P-42_1m,113
69,2206495,Ti4 Al8 O20,Al2O5Ti,"Al,O,Ti",Cmcm,63
70,7221255,Li2 Be2 Sb2,BeLiSb,"Be,Li,Sb",P6_3mc,186
71,8103999,Ga4 I12,GaI3,"Ga,I",P2_1/c,14
72,9003875,Mg3 H6 O6,H2MgO2,"H,Mg,O",P-3,147
73,2310103,Cs4 B36 O56,B9CsO14,"B,Cs,O",P4_122,91
74,9015178,Mg4 S8 O36,MgO9S2,"Mg,O,S",Pnma,62
75,4031685,U12 Te8 Se8,Se2Te2U3,"Se,Te,U",I-43d,220
76,7228735,In120.0016 Cu19.9984 S212,Cu19.9984In120.002S212,"Cu,In,S",Cc,9
77,2002257,Ca4 Cu2 O6,Ca2CuO3,"Ca,Cu,O",Immm,71
